quantity,unit_price,order_date,promised_delivery_time,actual_delivery_time,delivery_status_x,order_total,payment_method,product_name_x,category_x,brand,price,mrp,margin_percentage,shelf_life_days,min_stock_level,max_stock_level,delivery_time_minutes_x,distance_km_x,delivery_status_y,order_hour,order_dayofweek,is_weekend,customer_total_orders,customer_total_spend,customer_avg_order_value,customer_total_quantity,last_order_date,customer_recency_days,is_repeat_customer,product_name_y,category_y,total_units_sold,product_total_revenue,product_revenue_share,delivery_time_minutes_y,distance_km_y,delayed_flag
3,423.56,2023-08-30 19:37:06,2023-08-30 19:47:06,2023-08-30 19:45:06,On Time,2362.33,UPI,shampoo,personal care,sant-mahajan,423.56,651.63,35.0,365,20,52,-2.0,0.76,On Time,19,2,0,2,4608.03,2304.015,5,2023-10-29 13:27:38,372,1,shampoo,personal care,27,25453.47,0.0023119953446667,-2.0,0.76,0
1,727.95,2023-04-25 20:32:24,2023-04-25 20:44:24,2023-04-25 20:39:24,On Time,1463.8,Wallet,lotion,personal care,"sibal, bhatnagar and rajan",727.95,1119.92,35.0,365,22,50,-5.0,3.68,On Time,20,1,0,2,5400.48,2700.24,3,2023-06-08 14:26:52,515,1,lotion,personal care,34,39187.8,0.0035595151139601,-5.0,3.68,0
3,359.98,2023-10-22 11:15:33,2023-10-22 11:25:33,2023-10-22 11:37:33,Slightly Delayed,822.63,Card,bread,dairy & breakfast,aggarwal group,359.98,449.98,20.0,7,18,81,12.0,2.23,Slightly Delayed,11,6,1,2,869.25,434.625,5,2024-06-01 12:17:08,156,1,bread,dairy & breakfast,28,38755.23,0.0035202238178719,12.0,2.23,0
1,317.05,2024-01-28 02:39:11,2024-01-28 02:55:11,2024-01-28 03:06:11,Slightly Delayed,2287.68,Wallet,popcorn,snacks & munchies,golla-luthra,317.05,487.77,35.0,90,28,87,11.0,4.45,Slightly Delayed,2,6,1,2,2790.73,1395.365,2,2024-03-31 07:48:47,218,1,popcorn,snacks & munchies,37,40160.25,0.0036478449123303,11.0,4.45,0
3,134.69,2024-03-15 21:07:07,2024-03-15 21:24:07,2024-03-15 21:21:07,On Time,1962.35,Wallet,rice,grocery & staples,tella-master,134.69,158.46,15.0,365,26,89,-3.0,2.8,On Time,21,4,0,4,8836.16,2209.04,9,2024-04-12 06:07:28,206,1,rice,grocery & staples,36,38233.04,0.0034727921376714,-3.0,2.8,0
2,44.09,2024-02-03 08:50:32,2024-02-03 09:03:32,2024-02-03 09:01:32,On Time,3373.96,UPI,detergent,household care,mangal-sathe,44.09,58.79,25.0,365,23,53,-2.0,1.78,On Time,8,5,1,4,11045.67,2761.4175,9,2024-07-22 11:23:06,105,1,detergent,household care,37,40913.86,0.0037162969863184,-2.0,1.78,0
1,287.81,2023-04-26 04:03:57,2023-04-26 04:20:57,2023-04-26 04:28:57,Slightly Delayed,845.71,Wallet,frozen pizza,instant & frozen food,"varkey, devi and ganguly",287.81,479.68,40.0,180,18,68,8.0,1.16,Slightly Delayed,4,2,0,2,1723.6,861.8,2,2023-06-16 08:24:00,507,1,frozen pizza,instant & frozen food,54,46151.6,0.0041920525707858,8.0,1.16,0
1,211.25,2024-04-30 16:22:26,2024-04-30 16:33:26,2024-04-30 16:36:26,On Time,2706.54,Wallet,eggs,dairy & breakfast,subramaniam llc,211.25,264.06,20.0,7,12,78,3.0,3.07,On Time,16,1,0,3,5396.36,1798.7866666666666,4,2024-04-30 16:22:26,188,1,eggs,dairy & breakfast,33,35598.63,0.0032335028126425,3.0,3.07,0
3,608.0,2023-07-27 00:13:05,2023-07-27 00:25:05,2023-07-27 00:20:05,On Time,1132.98,Cash,bread,dairy & breakfast,sidhu plc,608.0,760.0,20.0,7,26,76,-5.0,1.65,On Time,0,3,0,3,6003.39,2001.13,6,2024-08-28 16:56:29,68,1,bread,dairy & breakfast,50,36011.13,0.0032709711059509,-5.0,1.65,0
1,877.89,2023-12-09 08:08:08,2023-12-09 08:27:08,2023-12-09 08:35:08,Slightly Delayed,1525.5,Cash,cough syrup,pharmacy,pant llc,877.89,1097.36,20.0,365,28,95,8.0,3.7,Slightly Delayed,8,5,1,1,1525.5,1525.5,1,2023-12-09 08:08:08,331,0,cough syrup,pharmacy,42,47106.22,0.0042787628305628,8.0,3.7,0
3,236.95,2023-07-01 04:24:22,2023-07-01 04:40:22,2023-07-01 04:53:22,Slightly Delayed,5718.09,Card,popcorn,snacks & munchies,"krishnamurthy, sibal and das",236.95,364.54,35.0,90,28,79,13.0,4.22,Slightly Delayed,4,5,1,3,7448.25,2482.75,7,2024-04-18 17:58:30,200,1,popcorn,snacks & munchies,36,38955.54,0.0035384184211024,13.0,4.22,0
2,478.79,2023-03-21 05:27:13,2023-03-21 05:38:13,2023-03-21 05:50:13,Slightly Delayed,2970.9,Card,vitamins,pharmacy,"magar, gara and garg",478.79,598.49,20.0,365,12,77,12.0,3.28,Slightly Delayed,5,1,0,6,12278.92,2046.486666666667,10,2024-07-30 05:38:00,97,1,vitamins,pharmacy,23,22543.76,0.0020476999077644,12.0,3.28,0
2,416.65,2024-05-28 14:59:08,2024-05-28 15:11:08,2024-05-28 15:10:08,On Time,2991.57,Wallet,potatoes,fruits & vegetables,rege group,416.65,555.53,25.0,3,11,63,-1.0,1.82,On Time,14,1,0,4,10317.86,2579.465,9,2024-05-28 14:59:08,160,1,potatoes,fruits & vegetables,41,48351.04,0.0043918326023837,-1.0,1.82,0
1,922.64,2024-06-16 10:23:23,2024-06-16 10:36:23,2024-06-16 11:02:23,Significantly Delayed,1404.68,Cash,cheese,dairy & breakfast,padmanabhan-virk,922.64,1153.3,20.0,7,13,66,26.0,0.58,Significantly Delayed,10,6,1,2,3300.74,1650.37,2,2024-06-16 10:23:23,141,1,cheese,dairy & breakfast,35,39403.69,0.0035791248832749,26.0,0.58,0
3,33.76,2024-06-26 07:13:47,2024-06-26 07:29:47,2024-06-26 07:24:47,On Time,2541.32,Wallet,detergent,household care,varkey llc,33.76,45.01,25.0,365,30,88,-5.0,1.21,On Time,7,2,0,3,5999.26,1999.753333333333,9,2024-10-15 03:02:28,20,1,detergent,household care,34,36452.3,0.0033110435591844,-5.0,1.21,0
3,552.2,2024-06-23 10:53:47,2024-06-23 11:05:47,2024-06-23 11:00:47,On Time,2475.69,Wallet,butter,dairy & breakfast,shetty-bora,552.2,690.25,20.0,7,20,79,-5.0,4.52,On Time,10,6,1,1,2475.69,2475.69,3,2024-06-23 10:53:47,134,0,butter,dairy & breakfast,37,47260.88,0.0042928109426672,-5.0,4.52,0
3,97.04,2024-05-07 22:42:49,2024-05-07 23:00:49,2024-05-07 22:55:49,On Time,1949.92,Wallet,wheat flour,grocery & staples,khurana and sons,97.04,114.16,15.0,365,28,93,-5.0,2.29,On Time,22,1,0,2,3944.35,1972.175,4,2024-05-07 22:42:49,180,1,wheat flour,grocery & staples,43,41198.87,0.0037421850791082,-5.0,2.29,0
2,44.09,2024-07-13 10:38:00,2024-07-13 10:49:00,2024-07-13 10:47:00,On Time,5804.23,Wallet,detergent,household care,mangal-sathe,44.09,58.79,25.0,365,23,53,-2.0,1.09,On Time,10,5,1,3,11380.73,3793.5766666666655,7,2024-07-13 10:38:00,114,1,detergent,household care,37,40913.86,0.0037162969863184,-2.0,1.09,0
1,212.14,2024-03-27 17:44:43,2024-03-27 18:00:43,2024-03-27 18:04:43,On Time,1231.03,Cash,potatoes,fruits & vegetables,chadha and sons,212.14,282.85,25.0,3,23,70,4.0,4.56,On Time,17,2,0,3,4049.85,1349.95,3,2024-08-26 21:19:15,69,1,potatoes,fruits & vegetables,41,46902.66,0.0042602730225971,4.0,4.56,0
2,877.98,2024-11-02 17:15:15,2024-11-02 17:26:15,2024-11-02 17:39:15,Slightly Delayed,3138.06,Card,toothpaste,personal care,"kibe, contractor and randhawa",877.98,1350.74,35.0,365,23,85,13.0,3.29,Slightly Delayed,17,5,1,4,8997.82,2249.455,8,2024-11-02 17:15:15,2,1,toothpaste,personal care,50,50156.91,0.0045558637947151,13.0,3.29,0
1,493.19,2023-06-24 23:52:15,2023-06-25 00:09:15,2023-06-25 00:07:15,On Time,3612.26,Wallet,curd,dairy & breakfast,mani plc,493.19,616.49,20.0,7,11,69,-2.0,3.07,On Time,23,5,1,2,4228.71,2114.355,4,2024-06-17 12:19:04,140,1,curd,dairy & breakfast,38,43337.1,0.0039364052701402,-2.0,3.07,0
1,726.41,2023-05-02 23:13:42,2023-05-02 23:25:42,2023-05-02 23:47:42,Significantly Delayed,1091.89,Card,iced tea,cold drinks & juices,bhasin llc,726.41,1037.73,30.0,180,10,97,22.0,4.77,Significantly Delayed,23,1,0,4,7476.77,1869.1925,9,2024-03-21 03:58:41,228,1,iced tea,cold drinks & juices,51,48739.05,0.0044270764144723,22.0,4.77,0
3,874.78,2024-08-04 23:35:44,2024-08-04 23:53:44,2024-08-04 23:48:44,On Time,410.62,UPI,orange juice,cold drinks & juices,gupta ltd,874.78,1249.69,30.0,180,21,90,-5.0,3.53,On Time,23,6,1,2,3688.92,1844.46,4,2024-08-04 23:35:44,91,1,orange juice,cold drinks & juices,32,37380.54,0.0033953576648342,-5.0,3.53,0
1,102.44,2023-08-11 16:52:36,2023-08-11 17:06:36,2023-08-11 17:05:36,On Time,5019.02,UPI,pulses,grocery & staples,"parmer, gola and yogi",102.44,120.52,15.0,365,28,86,-1.0,3.91,On Time,16,4,0,5,17572.43,3514.486,9,2024-08-04 15:09:28,92,1,pulses,grocery & staples,23,29097.83,0.0026430206765483,-1.0,3.91,0
3,77.11,2024-07-28 04:25:12,2024-07-28 04:45:12,2024-07-28 04:44:12,On Time,3694.48,Wallet,toilet cleaner,household care,"gulati, ram and sarkar",77.11,102.81,25.0,365,13,70,-1.0,3.85,On Time,4,6,1,2,4857.52,2428.76,5,2024-07-28 04:25:12,99,1,toilet cleaner,household care,54,59128.56,0.0053707787369206,-1.0,3.85,0
1,508.0,2023-04-05 18:07:19,2023-04-05 18:27:19,2023-04-05 18:28:19,On Time,1152.09,Wallet,dish soap,household care,dhar plc,508.0,677.33,25.0,365,17,59,1.0,0.94,On Time,18,2,0,3,7800.889999999999,2600.2966666666666,5,2024-06-06 21:04:35,150,1,dish soap,household care,51,58768.96,0.0053381154683784,1.0,0.94,0
3,607.67,2024-04-26 09:14:56,2024-04-26 09:30:56,2024-04-26 09:26:56,On Time,1055.18,UPI,baby food,baby care,srinivas plc,607.67,868.1,30.0,365,21,64,-4.0,2.75,On Time,9,4,0,2,3769.99,1884.995,5,2024-06-16 19:05:12,141,1,baby food,baby care,26,24143.91,0.0021930450945216,-4.0,2.75,0
3,90.56,2023-05-12 05:46:25,2023-05-12 06:02:25,2023-05-12 06:09:25,Slightly Delayed,3377.44,UPI,cough syrup,pharmacy,ram-suri,90.56,113.2,20.0,365,20,56,7.0,1.7,Slightly Delayed,5,4,0,3,9432.24,3144.08,7,2024-09-19 17:19:49,46,1,cough syrup,pharmacy,41,41177.13,0.0037402103865106,7.0,1.7,0
3,976.55,2024-06-02 13:04:55,2024-06-02 13:21:55,2024-06-02 13:16:55,On Time,3117.74,Cash,nuts,snacks & munchies,bahl-pau,976.55,1502.38,35.0,90,12,75,-5.0,4.09,On Time,13,6,1,4,9975.27,2493.8175,10,2024-06-02 13:04:55,155,1,nuts,snacks & munchies,38,39588.43,0.0035959052287434,-5.0,4.09,0
1,287.81,2023-07-23 10:45:59,2023-07-23 11:01:59,2023-07-23 11:03:59,On Time,4335.11,Wallet,frozen pizza,instant & frozen food,"varkey, devi and ganguly",287.81,479.68,40.0,180,18,68,2.0,3.15,On Time,10,6,1,3,6666.26,2222.0866666666666,4,2024-06-13 19:44:54,144,1,frozen pizza,instant & frozen food,54,46151.6,0.0041920525707858,2.0,3.15,0
3,212.61,2023-07-24 04:21:07,2023-07-24 04:36:07,2023-07-24 04:48:07,Slightly Delayed,816.38,Wallet,toilet cleaner,household care,thaman-lanka,212.61,283.48,25.0,365,10,52,12.0,2.55,Slightly Delayed,4,0,0,3,8701.64,2900.5466666666666,7,2024-09-02 00:09:24,63,1,toilet cleaner,household care,32,28143.97,0.0025563794492633,12.0,2.55,0
3,230.58,2023-05-06 05:52:44,2023-05-06 06:07:44,2023-05-06 06:04:44,On Time,1550.71,Cash,bread,dairy & breakfast,arya group,230.58,288.23,20.0,7,13,91,-3.0,3.44,On Time,5,5,1,3,3492.09,1164.03,7,2023-07-26 19:47:28,467,1,bread,dairy & breakfast,31,34060.94,0.0030938310067339,-3.0,3.44,0
1,317.05,2023-12-06 02:04:19,2023-12-06 02:14:19,2023-12-06 02:17:19,On Time,2292.64,Wallet,popcorn,snacks & munchies,golla-luthra,317.05,487.77,35.0,90,28,87,3.0,1.64,On Time,2,2,0,3,7033.82,2344.6066666666666,5,2024-10-23 00:20:31,12,1,popcorn,snacks & munchies,37,40160.25,0.0036478449123303,3.0,1.64,0
2,415.75,2024-06-18 07:17:42,2024-06-18 07:32:42,2024-06-18 07:36:42,On Time,827.44,Wallet,pulses,grocery & staples,cherian-dara,415.75,489.12,15.0,365,14,83,4.0,3.92,On Time,7,1,0,4,8882.31,2220.5775,8,2024-06-18 07:17:42,139,1,pulses,grocery & staples,52,47511.72,0.0043155952982878,4.0,3.92,0
3,822.63,2023-11-08 17:24:58,2023-11-08 17:43:58,2023-11-08 17:45:58,On Time,2066.77,Cash,pain reliever,pharmacy,"prakash, bawa and kale",822.63,1028.29,20.0,365,20,71,2.0,2.8,On Time,17,2,0,1,2066.77,2066.77,3,2023-11-08 17:24:58,362,0,pain reliever,pharmacy,50,37349.56,0.0033925436824665,2.0,2.8,0
1,530.85,2023-03-17 00:20:41,2023-03-17 00:36:41,2023-03-17 00:36:41,On Time,2354.28,Card,pain reliever,pharmacy,"batra, sant and mandal",530.85,663.56,20.0,365,29,63,0.0,4.0,On Time,0,4,0,4,11301.69,2825.4225,7,2024-08-06 19:17:03,90,1,pain reliever,pharmacy,50,64400.84,0.0058496716664811,0.0,4.0,0
1,443.17,2024-11-01 09:45:47,2024-11-01 10:05:47,2024-11-01 10:20:47,Slightly Delayed,96.33,Wallet,wheat flour,grocery & staples,"gala, magar and rajagopal",443.17,521.38,15.0,365,20,93,15.0,2.12,Slightly Delayed,9,4,0,5,12463.84,2492.768,8,2024-11-01 09:45:47,3,1,wheat flour,grocery & staples,36,45431.2,0.0041266170350299,15.0,2.12,0
3,863.18,2024-08-21 03:59:25,2024-08-21 04:10:25,2024-08-21 04:12:25,On Time,3561.22,UPI,baby wipes,baby care,dora-pillai,863.18,1233.11,30.0,365,17,97,2.0,2.5,On Time,3,2,0,1,3561.22,3561.22,3,2024-08-21 03:59:25,75,0,baby wipes,baby care,48,62743.14,0.005699099085106,2.0,2.5,0
1,287.81,2024-01-01 00:05:08,2024-01-01 00:15:08,2024-01-01 00:11:08,On Time,1213.05,Card,frozen pizza,instant & frozen food,"varkey, devi and ganguly",287.81,479.68,40.0,180,18,68,-4.0,2.43,On Time,0,0,0,5,9241.06,1848.212,11,2024-01-03 20:29:01,306,1,frozen pizza,instant & frozen food,54,46151.6,0.0041920525707858,-4.0,2.43,0
2,162.67,2024-02-08 20:03:51,2024-02-08 20:16:51,2024-02-08 20:25:51,Slightly Delayed,3134.8,Card,detergent,household care,lalla-srinivasan,162.67,216.89,25.0,365,11,82,9.0,0.73,Slightly Delayed,20,3,0,2,7044.07,3522.035,5,2024-03-14 00:46:30,235,1,detergent,household care,44,48561.17,0.0044109191780755,9.0,0.73,0
1,608.0,2024-04-21 06:14:58,2024-04-21 06:34:58,2024-04-21 06:33:58,On Time,3818.33,Wallet,bread,dairy & breakfast,sidhu plc,608.0,760.0,20.0,7,26,76,-1.0,1.74,On Time,6,6,1,3,13128.75,4376.25,3,2024-09-06 22:22:22,58,1,bread,dairy & breakfast,50,36011.13,0.0032709711059509,-1.0,1.74,0
2,230.58,2023-07-26 02:15:37,2023-07-26 02:26:37,2023-07-26 02:30:37,On Time,2008.84,Wallet,bread,dairy & breakfast,arya group,230.58,288.23,20.0,7,13,91,4.0,2.48,On Time,2,2,0,2,4427.81,2213.905,5,2023-12-23 17:06:45,317,1,bread,dairy & breakfast,31,34060.94,0.0030938310067339,4.0,2.48,0
1,727.95,2024-07-16 00:33:21,2024-07-16 00:47:21,2024-07-16 00:42:21,On Time,114.52,Cash,lotion,personal care,"sibal, bhatnagar and rajan",727.95,1119.92,35.0,365,22,50,-5.0,4.91,On Time,0,1,0,5,6392.81,1278.562,10,2024-09-07 07:00:44,58,1,lotion,personal care,34,39187.8,0.0035595151139601,-5.0,4.91,0
1,395.82,2024-05-02 14:40:25,2024-05-02 14:58:25,2024-05-02 14:58:25,On Time,1488.19,Card,popcorn,snacks & munchies,"chaudhari, pant and singh",395.82,608.95,35.0,90,22,66,0.0,3.31,On Time,14,3,0,1,1488.19,1488.19,1,2024-05-02 14:40:25,186,0,popcorn,snacks & munchies,33,41810.85,0.0037977725848994,0.0,3.31,0
3,415.75,2023-12-30 12:39:53,2023-12-30 12:51:53,2023-12-30 12:58:53,Slightly Delayed,891.6,Cash,pulses,grocery & staples,cherian-dara,415.75,489.12,15.0,365,14,83,7.0,2.35,Slightly Delayed,12,5,1,5,12115.11,2423.022,9,2024-07-19 01:16:09,108,1,pulses,grocery & staples,52,47511.72,0.0043155952982878,7.0,2.35,0
2,517.77,2024-02-03 01:04:33,2024-02-03 01:24:33,2024-02-03 01:25:33,On Time,1779.45,Wallet,vitamins,pharmacy,"pai, kashyap and ramachandran",517.77,647.21,20.0,365,16,85,1.0,2.6,On Time,1,5,1,3,3426.3900000000003,1142.13,6,2024-10-21 01:03:46,14,1,vitamins,pharmacy,43,50182.12,0.0045581536751377,1.0,2.6,0
1,432.0,2023-08-01 07:42:43,2023-08-01 07:54:43,2023-08-01 07:56:43,On Time,169.88,UPI,mango drink,cold drinks & juices,jha group,432.0,617.14,30.0,180,20,91,2.0,4.7,On Time,7,1,0,2,1105.69,552.845,4,2023-12-09 04:14:59,331,1,mango drink,cold drinks & juices,33,34733.29,0.0031549020540209,2.0,4.7,0
1,863.18,2024-05-03 13:21:58,2024-05-03 13:31:58,2024-05-03 13:31:58,On Time,4406.98,Cash,baby wipes,baby care,dora-pillai,863.18,1233.11,30.0,365,17,97,0.0,1.72,On Time,13,4,0,4,13501.18,3375.295,7,2024-10-10 06:40:31,25,1,baby wipes,baby care,48,62743.14,0.005699099085106,0.0,1.72,0
3,317.82,2023-10-17 19:29:19,2023-10-17 19:43:19,2023-10-17 19:44:19,On Time,2401.92,Wallet,mango drink,cold drinks & juices,"sankaran, pall and gola",317.82,454.03,30.0,180,22,58,1.0,2.09,On Time,19,1,0,2,3826.61,1913.305,4,2024-03-03 22:15:37,245,1,mango drink,cold drinks & juices,31,23524.01,0.0021367381974989,1.0,2.09,0
3,827.44,2023-11-01 13:29:17,2023-11-01 13:42:17,2023-11-01 13:51:17,Slightly Delayed,3742.79,Card,diapers,baby care,"kurian, patla and sanghvi",827.44,1182.06,30.0,365,19,84,9.0,4.09,Slightly Delayed,13,2,0,5,12192.71,2438.542,7,2024-06-06 21:29:44,150,1,diapers,baby care,45,50480.81,0.004585284352782,9.0,4.09,0
2,397.55,2023-08-15 01:15:08,2023-08-15 01:30:08,2023-08-15 01:34:08,On Time,2498.22,Wallet,toilet cleaner,household care,"gaba, sodhi and choudhary",397.55,530.07,25.0,365,24,84,4.0,1.07,On Time,1,1,0,1,2498.22,2498.22,2,2023-08-15 01:15:08,447,0,toilet cleaner,household care,62,53621.97,0.0048706029084388,4.0,1.07,0
2,448.16,2024-10-09 21:50:33,2024-10-09 22:04:33,2024-10-09 22:16:33,Slightly Delayed,949.75,UPI,soap,personal care,barman inc,448.16,689.48,35.0,365,20,67,12.0,2.99,Slightly Delayed,21,2,0,3,6206.78,2068.9266666666667,6,2024-10-09 21:50:33,25,1,soap,personal care,38,43155.87,0.0039199437457856,12.0,2.99,0
3,418.48,2024-11-01 15:00:29,2024-11-01 15:20:29,2024-11-01 15:39:29,Significantly Delayed,2687.31,Cash,biscuits,snacks & munchies,nagar llc,418.48,643.82,35.0,90,12,90,19.0,2.56,Significantly Delayed,15,4,0,1,2687.31,2687.31,3,2024-11-01 15:00:29,3,0,biscuits,snacks & munchies,31,41012.99,0.0037253011849018,19.0,2.56,0
1,869.22,2023-10-23 22:23:41,2023-10-23 22:43:41,2023-10-23 22:39:41,On Time,1866.01,Cash,tomatoes,fruits & vegetables,ramakrishnan-ghose,869.22,1158.96,25.0,3,28,88,-4.0,0.86,On Time,22,0,0,4,6744.32,1686.08,7,2024-10-30 05:28:47,5,1,tomatoes,fruits & vegetables,39,39955.28,0.0036292270309256,-4.0,0.86,0
2,925.65,2024-07-11 11:31:57,2024-07-11 11:42:57,2024-07-11 11:41:57,On Time,4198.33,Card,mangoes,fruits & vegetables,mandal-kar,925.65,1234.2,25.0,3,27,74,-1.0,0.77,On Time,11,3,0,4,14225.1,3556.275,6,2024-07-11 11:31:57,116,1,mangoes,fruits & vegetables,61,77830.82,0.0070695466477299,-1.0,0.77,0
1,493.19,2023-11-11 20:33:38,2023-11-11 20:48:38,2023-11-11 20:51:38,On Time,44.35,Wallet,curd,dairy & breakfast,mani plc,493.19,616.49,20.0,7,11,69,3.0,4.26,On Time,20,5,1,3,4160.1900000000005,1386.7300000000002,6,2024-07-28 05:10:33,99,1,curd,dairy & breakfast,38,43337.1,0.0039364052701402,3.0,4.26,0
1,307.23,2024-01-26 10:11:06,2024-01-26 10:31:06,2024-01-26 10:26:06,On Time,3217.7,Wallet,frozen pizza,instant & frozen food,sachdev inc,307.23,512.05,40.0,180,20,94,-5.0,3.96,On Time,10,4,0,2,5123.139999999999,2561.57,3,2024-09-26 09:57:18,39,1,frozen pizza,instant & frozen food,27,29885.46,0.0027145628628719,-5.0,3.96,0
2,16.86,2024-05-20 06:25:18,2024-05-20 06:37:18,2024-05-20 06:51:18,Slightly Delayed,2683.73,UPI,orange juice,cold drinks & juices,toor-nagar,16.86,24.09,30.0,180,11,74,14.0,4.9,Slightly Delayed,6,0,0,3,6387.64,2129.2133333333336,8,2024-08-11 23:00:07,84,1,orange juice,cold drinks & juices,30,37458.04,0.0034023971623649,14.0,4.9,0
1,186.08,2024-03-04 08:49:03,2024-03-04 09:01:03,2024-03-04 09:01:03,On Time,3472.55,Wallet,frozen pizza,instant & frozen food,baral group,186.08,310.13,40.0,180,29,84,0.0,0.89,On Time,8,0,0,2,5073.74,2536.87,3,2024-03-04 08:49:03,245,1,frozen pizza,instant & frozen food,34,37855.12,0.0034384648227452,0.0,0.89,0
3,622.81,2024-03-23 18:38:14,2024-03-23 18:52:14,2024-03-23 18:55:14,On Time,1131.05,Wallet,salt,grocery & staples,"jhaveri, kata and kapur",622.81,732.72,15.0,365,24,52,3.0,4.58,On Time,18,5,1,4,7290.41,1822.6025,6,2024-07-19 22:39:09,107,1,salt,grocery & staples,34,42620.93,0.0038713539547011,3.0,4.58,0
1,616.45,2024-02-17 19:48:14,2024-02-17 19:58:14,2024-02-17 20:18:14,Significantly Delayed,2037.94,UPI,ice cream,instant & frozen food,mohan-virk,616.45,1027.42,40.0,180,11,58,20.0,3.97,Significantly Delayed,19,5,1,3,7614.450000000001,2538.15,4,2024-02-17 19:48:14,261,1,ice cream,instant & frozen food,43,45529.51,0.0041355467511878,20.0,3.97,0
