feature,coefficient,abs_coef
cat__category_y_household care,20.25100133411482,20.25100133411482
cat__brand_memon ltd,19.980676186878302,19.980676186878302
cat__product_name_x_onions,19.294826951990512,19.294826951990512
cat__product_name_y_onions,19.294826670925914,19.294826670925914
cat__product_name_x_ice cream,-19.187985351736735,19.187985351736735
cat__product_name_y_ice cream,-19.187983896028996,19.187983896028996
cat__product_name_y_baby wipes,-19.178906300722662,19.178906300722662
cat__product_name_x_baby wipes,-19.178904950370494,19.178904950370494
"cat__brand_gaba, sodhi and choudhary",-19.063397641016184,19.063397641016184
cat__last_order_date_2024-05-30 17:53:58,-18.91987367404108,18.91987367404108
"cat__brand_bains, deol and vaidya",18.90340861267981,18.90340861267981
cat__category_y_baby care,-18.79041041573282,18.79041041573282
cat__category_x_baby care,-18.790407634398306,18.790407634398306
cat__product_name_y_nuts,18.74272845642846,18.74272845642846
cat__product_name_x_nuts,18.742727722018827,18.742727722018827
cat__brand_naik ltd,-18.668842752227505,18.668842752227505
"cat__brand_swaminathan, mahal and dara",18.53656638794873,18.53656638794873
cat__brand_mann-kapadia,-18.465822774479072,18.465822774479072
cat__product_name_x_cookies,-17.850385718276094,17.850385718276094
cat__product_name_y_cookies,-17.850385326103307,17.850385326103307
"cat__brand_garg, kari and kapur",17.61241843452797,17.61241843452797
cat__product_name_y_detergent,17.523979733745783,17.523979733745783
cat__product_name_x_detergent,17.523978567624436,17.523978567624436
"cat__brand_lall, datta and swamy",-17.502131134070794,17.502131134070794
cat__brand_rastogi inc,17.481536207420465,17.481536207420465
cat__brand_kashyap-reddy,17.334280928289562,17.334280928289562
"cat__brand_gole, chand and dada",17.31589395085927,17.31589395085927
cat__brand_mammen-hegde,-17.297587451057243,17.297587451057243
"cat__brand_chanda, som and vohra",17.261400237606225,17.261400237606225
cat__brand_pillay-ahuja,-17.22514657241731,17.22514657241731
"cat__brand_balan, samra and sekhon",-17.089047214241653,17.089047214241653
"cat__brand_basu, thakur and rege",17.023538623789374,17.023538623789374
cat__brand_batta-doctor,16.793638667274223,16.793638667274223
cat__brand_chadha and sons,-16.792249919310425,16.792249919310425
cat__product_name_x_mango drink,16.66324645690102,16.66324645690102
cat__product_name_y_mango drink,16.66324624077983,16.66324624077983
cat__actual_delivery_time_2024-10-16 16:02:51,16.535569009120405,16.535569009120405
cat__promised_delivery_time_2024-10-16 15:49:51,16.535569008425725,16.535569008425725
cat__order_date_2024-10-16 15:30:51,16.535569007730928,16.535569007730928
cat__brand_baral-kamdar,16.46066520559667,16.46066520559667
cat__brand_gole-doshi,-16.353698573894835,16.353698573894835
cat__product_name_x_vitamins,16.295184958003237,16.295184958003237
cat__product_name_y_vitamins,16.29517641478727,16.29517641478727
cat__product_name_y_toothpaste,-16.250048258306123,16.250048258306123
cat__product_name_x_toothpaste,-16.250048251466247,16.250048251466247
cat__brand_sehgal-nagarajan,15.936072811771863,15.936072811771863
cat__brand_mahal group,-15.791495434280572,15.791495434280572
"cat__brand_bhandari, bhasin and palan",-15.653714244701277,15.653714244701277
cat__product_name_y_pain reliever,-15.521892054358336,15.521892054358336
cat__product_name_x_pain reliever,-15.521889140612467,15.521889140612467
cat__last_order_date_2024-05-12 03:21:52,-15.408175454364441,15.408175454364441
cat__product_name_y_dog food,15.283559379250221,15.283559379250221
cat__product_name_x_dog food,15.283558412409027,15.283558412409027
cat__brand_pau and sons,-15.262401001504363,15.262401001504363
cat__brand_khalsa-bhavsar,-15.24953023104059,15.24953023104059
cat__brand_bhasin llc,15.209689559264822,15.209689559264822
"cat__brand_apte, soman and raju",15.200468624861998,15.200468624861998
"cat__brand_sinha, pau and chhabra",15.060224962599358,15.060224962599358
"cat__brand_suresh, bose and bajwa",-14.887635557150071,14.887635557150071
cat__brand_gara and sons,14.874783518189796,14.874783518189796
cat__actual_delivery_time_2023-08-28 20:24:24,14.863087753184114,14.863087753184114
cat__promised_delivery_time_2023-08-28 20:27:24,14.863087751786502,14.863087751786502
cat__order_date_2023-08-28 20:16:24,14.863087750388939,14.863087750388939
cat__brand_mandal llc,14.762102152926348,14.762102152926348
cat__brand_mand-choudhry,-14.700107621203045,14.700107621203045
cat__brand_talwar and sons,-14.63196519504937,14.63196519504937
cat__order_date_2023-07-01 04:24:22,14.594117599909195,14.594117599909195
cat__promised_delivery_time_2023-07-01 04:40:22,14.594117599696066,14.594117599696066
cat__actual_delivery_time_2023-07-01 04:53:22,14.594117599482924,14.594117599482924
"cat__brand_biswas, kapoor and patel",14.545933759237434,14.545933759237434
cat__order_date_2023-12-31 10:23:35,14.408851214954675,14.408851214954675
cat__promised_delivery_time_2023-12-31 10:33:35,14.408851214050612,14.408851214050612
cat__actual_delivery_time_2023-12-31 10:31:35,14.408851213146525,14.408851213146525
cat__brand_deshpande-rama,14.279635533541478,14.279635533541478
cat__brand_hayer-banerjee,14.226224381173582,14.226224381173582
cat__actual_delivery_time_2024-10-10 08:52:56,14.206022934590251,14.206022934590251
cat__promised_delivery_time_2024-10-10 08:31:56,14.206022933351381,14.206022933351381
cat__order_date_2024-10-10 08:16:56,14.206022932112564,14.206022932112564
cat__brand_golla-luthra,-14.146280610862371,14.146280610862371
cat__brand_kothari-datta,14.048362413551068,14.048362413551068
cat__brand_ramaswamy-tata,-14.005530399425808,14.005530399425808
cat__product_name_x_shampoo,13.996783449549547,13.996783449549547
cat__product_name_y_shampoo,13.996782060883215,13.996782060883215
cat__order_date_2024-06-02 02:03:40,13.974859502915258,13.974859502915258
cat__promised_delivery_time_2024-06-02 02:13:40,13.974859502129963,13.974859502129963
cat__actual_delivery_time_2024-06-02 02:14:40,13.97485950134465,13.97485950134465
cat__brand_balan group,13.926328891895185,13.926328891895185
cat__product_name_y_chocolates,13.872738311803971,13.872738311803971
cat__product_name_x_chocolates,13.87273828603002,13.87273828603002
cat__order_date_2024-01-17 10:55:53,-13.827529824109565,13.827529824109565
cat__promised_delivery_time_2024-01-17 11:12:53,-13.827529823040896,13.827529823040896
cat__actual_delivery_time_2024-01-17 11:39:53,-13.827529821972176,13.827529821972176
"cat__brand_shankar, nadkarni and kumer",-13.781894238131953,13.781894238131953
cat__last_order_date_2024-11-04 13:50:21,-13.772821841507298,13.772821841507298
cat__brand_trivedi-ahluwalia,13.731045285634815,13.731045285634815
cat__brand_kadakia-yadav,13.709412730731207,13.709412730731207
cat__brand_lall llc,13.69146943687023,13.69146943687023
"cat__brand_sathe, agarwal and dhar",13.662696810791289,13.662696810791289
cat__order_date_2024-06-21 04:44:10,13.634380793151312,13.634380793151312
cat__promised_delivery_time_2024-06-21 04:59:10,13.634380792240995,13.634380792240995
cat__actual_delivery_time_2024-06-21 05:04:10,13.634380791330655,13.634380791330655
cat__actual_delivery_time_2024-07-01 02:36:28,13.54895029866,13.54895029866
cat__promised_delivery_time_2024-07-01 02:23:28,13.5489502983507,13.5489502983507
cat__order_date_2024-07-01 02:05:28,13.548950298041422,13.548950298041422
cat__payment_method_Cash,-13.485958586074942,13.485958586074942
cat__actual_delivery_time_2024-02-21 22:46:12,13.4712657087012,13.4712657087012
cat__promised_delivery_time_2024-02-21 22:45:12,13.47126570865457,13.47126570865457
cat__order_date_2024-02-21 22:35:12,13.471265708607953,13.471265708607953
cat__order_date_2023-12-30 17:50:47,13.460015833437334,13.460015833437334
cat__promised_delivery_time_2023-12-30 18:05:47,13.46001583329734,13.46001583329734
cat__actual_delivery_time_2023-12-30 18:17:47,13.460015833157353,13.460015833157353
"cat__brand_jhaveri, kata and kapur",-13.455066553116172,13.455066553116172
"cat__brand_krishnamurthy, sibal and das",13.391651737639286,13.391651737639286
cat__brand_bir plc,13.292813273386296,13.292813273386296
cat__product_name_x_frozen vegetables,-13.28797688114684,13.28797688114684
cat__product_name_y_frozen vegetables,-13.287975201257119,13.287975201257119
cat__order_date_2024-11-04 01:16:31,13.264322652328525,13.264322652328525
cat__promised_delivery_time_2024-11-04 01:28:31,13.264322651484314,13.264322651484314
cat__actual_delivery_time_2024-11-04 01:34:31,13.264322650640079,13.264322650640079
cat__brand_sidhu plc,-13.24008683659742,13.24008683659742
cat__category_y_instant & frozen food,13.221796265675602,13.221796265675602
cat__category_x_instant & frozen food,13.221791744224584,13.221791744224584
cat__last_order_date_2023-07-18 10:53:19,-13.180582084100243,13.180582084100243
cat__actual_delivery_time_2024-08-07 20:27:41,13.16158056106376,13.16158056106376
cat__promised_delivery_time_2024-08-07 20:27:41,13.161580560995377,13.161580560995377
cat__order_date_2024-08-07 20:09:41,13.161580560927005,13.161580560927005
cat__brand_gupta ltd,-13.059365005747157,13.059365005747157
cat__actual_delivery_time_2023-05-30 19:37:37,-12.999574842810546,12.999574842810546
cat__promised_delivery_time_2023-05-30 19:35:37,-12.999574842037896,12.999574842037896
cat__order_date_2023-05-30 19:17:37,-12.999574841265284,12.999574841265284
cat__actual_delivery_time_2024-01-12 21:58:51,12.959322377419218,12.959322377419218
cat__promised_delivery_time_2024-01-12 22:01:51,12.959322377340815,12.959322377340815
cat__order_date_2024-01-12 21:44:51,12.959322377262422,12.959322377262422
cat__last_order_date_2024-07-16 04:05:08,12.958598854166686,12.958598854166686
cat__brand_handa plc,-12.928566157406246,12.928566157406246
cat__payment_method_UPI,-12.90858551054063,12.90858551054063
cat__last_order_date_2024-03-12 02:25:14,12.878143232641033,12.878143232641033
cat__actual_delivery_time_2023-05-14 16:16:09,12.878143218513191,12.878143218513191
cat__promised_delivery_time_2023-05-14 16:02:09,12.878143217925471,12.878143217925471
cat__order_date_2023-05-14 15:42:09,12.878143217337769,12.878143217337769
cat__order_date_2023-04-16 07:19:57,-12.843830694336416,12.843830694336416
cat__promised_delivery_time_2023-04-16 07:39:57,-12.8438306937765,12.8438306937765
cat__actual_delivery_time_2023-04-16 07:35:57,-12.843830693216566,12.843830693216566
cat__order_date_2023-06-30 16:02:02,12.805676886925355,12.805676886925355
cat__promised_delivery_time_2023-06-30 16:18:02,12.8056768861215,12.8056768861215
cat__actual_delivery_time_2023-06-30 16:46:02,12.80567688531761,12.80567688531761
cat__last_order_date_2024-04-26 05:34:58,-12.799366805424373,12.799366805424373
cat__order_date_2023-08-27 18:01:35,12.787132042100056,12.787132042100056
cat__promised_delivery_time_2023-08-27 18:11:35,12.787132041753788,12.787132041753788
cat__actual_delivery_time_2023-08-27 18:20:35,12.787132041407505,12.787132041407505
cat__brand_sandal plc,12.741726023752374,12.741726023752374
cat__actual_delivery_time_2024-05-27 14:52:47,-12.699651702799077,12.699651702799077
cat__promised_delivery_time_2024-05-27 14:57:47,-12.69965170262894,12.69965170262894
cat__order_date_2024-05-27 14:45:47,-12.6996517024588,12.6996517024588
cat__brand_sant-mahajan,12.670865298160543,12.670865298160543
cat__order_date_2023-06-10 19:34:51,12.616170216955888,12.616170216955888
cat__promised_delivery_time_2023-06-10 19:48:51,12.616170216926145,12.616170216926145
cat__actual_delivery_time_2023-06-10 19:48:51,12.616170216896393,12.616170216896393
cat__order_date_2023-12-05 21:06:09,12.612483190529742,12.612483190529742
cat__promised_delivery_time_2023-12-05 21:21:09,12.612483189378585,12.612483189378585
cat__actual_delivery_time_2023-12-05 21:23:09,12.612483188227392,12.612483188227392
cat__brand_varkey llc,12.612449189807013,12.612449189807013
cat__order_date_2024-08-20 07:33:07,12.610665723758709,12.610665723758709
cat__promised_delivery_time_2024-08-20 07:43:07,12.610665722929067,12.610665722929067
cat__actual_delivery_time_2024-08-20 07:51:07,12.610665722099405,12.610665722099405
cat__order_date_2024-02-25 12:46:11,-12.595840469043848,12.595840469043848
cat__promised_delivery_time_2024-02-25 13:03:11,-12.595840468711677,12.595840468711677
cat__actual_delivery_time_2024-02-25 13:15:11,-12.595840468379482,12.595840468379482
cat__order_date_2024-01-26 14:45:50,12.591343862826951,12.591343862826951
cat__promised_delivery_time_2024-01-26 14:58:50,12.591343861887635,12.591343861887635
cat__actual_delivery_time_2024-01-26 14:56:50,12.59134386094848,12.59134386094848
cat__actual_delivery_time_2024-07-07 02:53:18,12.53951651627991,12.53951651627991
cat__promised_delivery_time_2024-07-07 02:51:18,12.539516515796667,12.539516515796667
cat__order_date_2024-07-07 02:41:18,12.53951651531345,12.53951651531345
"cat__brand_warrior, ravel and amble",12.514290190188396,12.514290190188396
cat__brand_raghavan inc,-12.501432317418049,12.501432317418049
cat__actual_delivery_time_2024-06-02 03:41:24,12.356921723908016,12.356921723908016
cat__promised_delivery_time_2024-06-02 03:39:24,12.356921723631881,12.356921723631881
cat__order_date_2024-06-02 03:23:24,12.356921723355768,12.356921723355768
cat__brand_dutta inc,12.348547742456562,12.348547742456562
cat__order_date_2024-09-08 06:29:25,12.221449832795651,12.221449832795651
cat__promised_delivery_time_2024-09-08 06:47:25,12.221449832774507,12.221449832774507
cat__actual_delivery_time_2024-09-08 06:50:25,12.221449832753366,12.221449832753366
cat__order_date_2023-04-15 01:07:35,12.15357942263799,12.15357942263799
cat__promised_delivery_time_2023-04-15 01:22:35,12.153579420872061,12.153579420872061
cat__actual_delivery_time_2023-04-15 01:35:35,12.153579419106064,12.153579419106064
cat__brand_yohannan inc,-12.131062268794572,12.131062268794572
cat__order_date_2023-12-02 12:47:08,-12.093326204251811,12.093326204251811
cat__promised_delivery_time_2023-12-02 12:57:08,-12.093326204155824,12.093326204155824
cat__actual_delivery_time_2023-12-02 13:00:08,-12.093326204059824,12.093326204059824
cat__actual_delivery_time_2023-11-10 10:56:12,-12.0615266904294,12.0615266904294
cat__promised_delivery_time_2023-11-10 10:33:12,-12.06152669040083,12.06152669040083
cat__order_date_2023-11-10 10:22:12,-12.061526690372256,12.061526690372256
cat__brand_dubey-sarin,-11.963449144285098,11.963449144285098
cat__order_date_2024-04-07 05:57:50,11.961814217722667,11.961814217722667
cat__promised_delivery_time_2024-04-07 06:09:50,11.961814216719706,11.961814216719706
cat__actual_delivery_time_2024-04-07 06:05:50,11.96181421571672,11.96181421571672
cat__brand_lal-chauhan,-11.921384266422562,11.921384266422562
cat__actual_delivery_time_2023-10-24 04:01:33,11.876901533723291,11.876901533723291
cat__promised_delivery_time_2023-10-24 03:59:33,11.876901533041087,11.876901533041087
cat__order_date_2023-10-24 03:46:33,11.87690153235891,11.87690153235891
cat__order_date_2023-09-01 08:30:26,-11.81662868156728,11.81662868156728
cat__promised_delivery_time_2023-09-01 08:46:26,-11.816628681565152,11.816628681565152
cat__actual_delivery_time_2023-09-01 08:50:26,-11.816628681563023,11.816628681563023
cat__order_date_2023-09-16 17:06:21,11.774596266006967,11.774596266006967
cat__promised_delivery_time_2023-09-16 17:26:21,11.774596265874893,11.774596265874893
cat__actual_delivery_time_2023-09-16 17:26:21,11.774596265742813,11.774596265742813
"cat__brand_gulati, ram and sarkar",11.688852418951946,11.688852418951946
cat__last_order_date_2024-06-28 08:57:17,-11.67747345655048,11.67747345655048
cat__order_date_2024-02-24 05:57:00,11.619946564144028,11.619946564144028
cat__promised_delivery_time_2024-02-24 06:16:00,11.619946563835224,11.619946563835224
cat__actual_delivery_time_2024-02-24 06:14:00,11.61994656352642,11.61994656352642
cat__order_date_2024-08-26 12:11:17,11.55462232316908,11.55462232316908
cat__promised_delivery_time_2024-08-26 12:29:17,11.554622322997215,11.554622322997215
cat__actual_delivery_time_2024-08-26 12:44:17,11.554622322825354,11.554622322825354
cat__brand_uppal group,-11.543623292709393,11.543623292709393
cat__order_date_2024-05-09 00:30:37,11.533048630817317,11.533048630817317
cat__promised_delivery_time_2024-05-09 00:41:37,11.533048630652761,11.533048630652761
cat__actual_delivery_time_2024-05-09 00:39:37,11.533048630488212,11.533048630488212
cat__last_order_date_2024-09-07 07:06:30,-11.530976932427508,11.530976932427508
cat__order_date_2024-07-08 19:24:57,-11.530976925925463,11.530976925925463
cat__promised_delivery_time_2024-07-08 19:40:57,-11.530976925503392,11.530976925503392
cat__actual_delivery_time_2024-07-08 19:44:57,-11.530976925081296,11.530976925081296
cat__order_date_2024-02-01 02:23:06,11.524058062817488,11.524058062817488
cat__promised_delivery_time_2024-02-01 02:39:06,11.524058061900062,11.524058061900062
cat__actual_delivery_time_2024-02-01 02:41:06,11.524058060982611,11.524058060982611
"cat__brand_nagi, sampath and khurana",-11.506277146144544,11.506277146144544
cat__actual_delivery_time_2024-01-29 17:51:04,11.473420533288694,11.473420533288694
cat__promised_delivery_time_2024-01-29 17:52:04,11.473420532418892,11.473420532418892
cat__order_date_2024-01-29 17:42:04,11.473420531549129,11.473420531549129
cat__actual_delivery_time_2024-02-16 22:14:26,11.466776291967957,11.466776291967957
cat__promised_delivery_time_2024-02-16 21:48:26,11.466776291382175,11.466776291382175
cat__order_date_2024-02-16 21:32:26,11.466776290796561,11.466776290796561
cat__brand_murthy-kaul,-11.40114212590817,11.40114212590817
cat__brand_ganesan ltd,11.399048051038003,11.399048051038003
cat__order_date_2024-01-25 10:03:18,-11.368236945976468,11.368236945976468
cat__promised_delivery_time_2024-01-25 10:19:18,-11.368236944668933,11.368236944668933
cat__actual_delivery_time_2024-01-25 10:22:18,-11.36823694336134,11.36823694336134
cat__actual_delivery_time_2023-08-09 12:49:16,11.364309952936813,11.364309952936813
cat__promised_delivery_time_2023-08-09 12:53:16,11.364309952680795,11.364309952680795
cat__order_date_2023-08-09 12:40:16,11.364309952424785,11.364309952424785
cat__actual_delivery_time_2023-03-19 19:38:34,-11.312823804615192,11.312823804615192
cat__promised_delivery_time_2023-03-19 19:10:34,-11.312823803743981,11.312823803743981
cat__order_date_2023-03-19 18:55:34,-11.31282380287259,11.31282380287259
cat__last_order_date_2024-10-28 18:46:06,11.295776262071014,11.295776262071014
cat__product_name_x_baby food,11.28426449720546,11.28426449720546
cat__product_name_y_baby food,11.284263279217617,11.284263279217617
"cat__brand_garg, saraf and dutta",-11.279713457150132,11.279713457150132
cat__actual_delivery_time_2024-10-02 22:15:43,-11.257663543061428,11.257663543061428
cat__promised_delivery_time_2024-10-02 22:12:43,-11.257663542127021,11.257663542127021
cat__order_date_2024-10-02 21:52:43,-11.25766354119264,11.25766354119264
cat__brand_subramaniam llc,-11.245196652894936,11.245196652894936
cat__brand_guha-subramaniam,11.237933511525478,11.237933511525478
cat__product_name_x_frozen pizza,11.153124596266474,11.153124596266474
cat__product_name_y_frozen pizza,11.153123265323705,11.153123265323705
cat__last_order_date_2024-06-27 08:52:11,-11.150854519088702,11.150854519088702
cat__last_order_date_2024-01-29 19:49:32,11.106120029087565,11.106120029087565
cat__actual_delivery_time_2024-11-01 10:20:47,-11.096077018873732,11.096077018873732
cat__promised_delivery_time_2024-11-01 10:05:47,-11.096077018694857,11.096077018694857
cat__order_date_2024-11-01 09:45:47,-11.096077018515981,11.096077018515981
cat__order_date_2023-07-20 23:23:59,-11.053366386646314,11.053366386646314
cat__promised_delivery_time_2023-07-20 23:41:59,-11.05336638584175,11.05336638584175
cat__actual_delivery_time_2023-07-20 23:50:59,-11.053366385037156,11.053366385037156
cat__actual_delivery_time_2024-10-15 13:29:58,-11.043625207877142,11.043625207877142
cat__promised_delivery_time_2024-10-15 13:32:58,-11.043625207141027,11.043625207141027
cat__order_date_2024-10-15 13:14:58,-11.043625206404881,11.043625206404881
cat__order_date_2024-07-12 18:52:29,11.034661828568323,11.034661828568323
cat__promised_delivery_time_2024-07-12 19:12:29,11.034661827790345,11.034661827790345
cat__actual_delivery_time_2024-07-12 19:27:29,11.034661827012343,11.034661827012343
cat__last_order_date_2024-08-23 03:48:43,-11.027076613873781,11.027076613873781
cat__order_date_2023-07-31 23:19:05,10.984071372737935,10.984071372737935
cat__promised_delivery_time_2023-07-31 23:29:05,10.984071371979763,10.984071371979763
cat__actual_delivery_time_2023-07-31 23:33:05,10.984071371221562,10.984071371221562
cat__last_order_date_2024-09-08 06:29:25,10.97487008387711,10.97487008387711
cat__actual_delivery_time_2024-09-29 09:43:51,10.972685441149737,10.972685441149737
cat__promised_delivery_time_2024-09-29 09:47:51,10.972685441067982,10.972685441067982
cat__order_date_2024-09-29 09:30:51,10.972685440986243,10.972685440986243
"cat__brand_parekh, lad and kadakia",-10.961560198637402,10.961560198637402
cat__brand_lalla-srinivasan,-10.948154851520846,10.948154851520846
"cat__brand_parmer, gola and yogi",10.908135517754351,10.908135517754351
cat__product_name_y_diapers,-10.895765493039915,10.895765493039915
cat__product_name_x_diapers,-10.895765304672102,10.895765304672102
cat__order_date_2023-05-09 11:57:58,10.89024421663596,10.89024421663596
cat__promised_delivery_time_2023-05-09 12:12:58,10.890244215899544,10.890244215899544
cat__actual_delivery_time_2023-05-09 12:38:58,10.890244215163099,10.890244215163099
cat__order_date_2023-09-28 11:44:23,10.889599584662767,10.889599584662767
cat__promised_delivery_time_2023-09-28 12:02:23,10.88959958438372,10.88959958438372
cat__actual_delivery_time_2023-09-28 11:58:23,10.889599584104669,10.889599584104669
cat__order_date_2023-11-11 18:32:19,-10.833072330818124,10.833072330818124
cat__promised_delivery_time_2023-11-11 18:42:19,-10.83307232976836,10.83307232976836
cat__actual_delivery_time_2023-11-11 18:37:19,-10.83307232871855,10.83307232871855
cat__actual_delivery_time_2024-09-10 12:54:01,10.831149981297699,10.831149981297699
cat__promised_delivery_time_2024-09-10 12:54:01,10.831149980504462,10.831149980504462
cat__order_date_2024-09-10 12:34:01,10.831149979711265,10.831149979711265
cat__actual_delivery_time_2023-12-24 13:29:30,10.828680529809649,10.828680529809649
cat__promised_delivery_time_2023-12-24 13:29:30,10.828680529688429,10.828680529688429
cat__order_date_2023-12-24 13:13:30,10.828680529567219,10.828680529567219
cat__actual_delivery_time_2024-01-26 15:00:19,-10.823321215051052,10.823321215051052
cat__promised_delivery_time_2024-01-26 15:04:19,-10.82332121431147,10.82332121431147
cat__order_date_2024-01-26 14:45:19,-10.82332121357193,10.82332121357193
cat__actual_delivery_time_2023-09-09 01:51:33,-10.80866144029428,10.80866144029428
cat__promised_delivery_time_2023-09-09 01:48:33,-10.808661439192019,10.808661439192019
cat__order_date_2023-09-09 01:31:33,-10.808661438089795,10.808661438089795
"cat__brand_chaudhari, pant and singh",-10.806407042193847,10.806407042193847
cat__actual_delivery_time_2024-02-19 15:18:47,-10.723967931707115,10.723967931707115
cat__promised_delivery_time_2024-02-19 15:17:47,-10.723967931525944,10.723967931525944
cat__order_date_2024-02-19 15:05:47,-10.723967931344768,10.723967931344768
cat__product_name_x_popcorn,10.720134946909061,10.720134946909061
cat__product_name_y_popcorn,10.720134205770798,10.720134205770798
cat__actual_delivery_time_2024-02-07 03:32:37,-10.718973272409665,10.718973272409665
cat__promised_delivery_time_2024-02-07 03:34:37,-10.718973271659797,10.718973271659797
cat__order_date_2024-02-07 03:19:37,-10.718973270909945,10.718973270909945
cat__actual_delivery_time_2023-06-10 02:52:49,10.702094077527507,10.702094077527507
cat__promised_delivery_time_2023-06-10 02:57:49,10.70209407713471,10.70209407713471
cat__order_date_2023-06-10 02:41:49,10.70209407674192,10.70209407674192
cat__order_date_2023-06-10 13:50:41,-10.656857599106596,10.656857599106596
cat__promised_delivery_time_2023-06-10 14:06:41,-10.65685759812735,10.65685759812735
cat__actual_delivery_time_2023-06-10 14:06:41,-10.656857597148075,10.656857597148075
cat__order_date_2024-04-15 19:33:23,10.65491543049234,10.65491543049234
cat__promised_delivery_time_2024-04-15 19:50:23,10.654915430337779,10.654915430337779
cat__actual_delivery_time_2024-04-15 19:47:23,10.654915430183221,10.654915430183221
cat__last_order_date_2024-04-15 19:33:23,10.654915413188466,10.654915413188466
cat__order_date_2023-11-30 05:46:13,10.637471664784641,10.637471664784641
cat__promised_delivery_time_2023-11-30 06:00:13,10.637471664594726,10.637471664594726
cat__actual_delivery_time_2023-11-30 06:05:13,10.637471664404814,10.637471664404814
cat__product_name_x_potatoes,-10.618502169205305,10.618502169205305
cat__product_name_y_potatoes,-10.618501202293455,10.618501202293455
cat__actual_delivery_time_2023-04-26 17:59:53,10.6060185318909,10.6060185318909
cat__promised_delivery_time_2023-04-26 18:00:53,10.60601853161637,10.60601853161637
cat__order_date_2023-04-26 17:45:53,10.606018531341844,10.606018531341844
cat__actual_delivery_time_2023-09-01 11:14:53,-10.595396220419707,10.595396220419707
cat__promised_delivery_time_2023-09-01 11:08:53,-10.595396220107453,10.595396220107453
cat__order_date_2023-09-01 10:55:53,-10.59539621979521,10.59539621979521
cat__order_date_2023-07-27 17:54:35,10.591589077807757,10.591589077807757
cat__promised_delivery_time_2023-07-27 18:14:35,10.591589077331106,10.591589077331106
cat__actual_delivery_time_2023-07-27 18:16:35,10.591589076854438,10.591589076854438
cat__actual_delivery_time_2023-11-01 15:47:13,10.58481905880377,10.58481905880377
